name,type,lat,lon,source
Fountain Chowk,junction,28.4634564,77.0336532,osm
IFFCO Chowk,junction,28.47919,77.0704879,osm
MLA Flats T Point Crossing,junction,28.467966,77.0941899,osm
Rajiv Chowk,junction,28.4947,77.0895,manual
Mata Chowk,junction,28.5397491,77.1316163,osm
Bharti Infratel Chowk,junction,28.492357,77.0821224,osm
Ambedkar Chowk,junction,28.4723208,77.08934,osm
Sikanderpur Chowk,junction,28.4817361,77.0942535,osm
Bristol Chowk,junction,28.4788656,77.0942935,osm
Chaudhary Daya Ram Chowk,junction,28.5057072,77.1746095,osm
Pipal Chowk,junction,28.5224877,77.1711187,osm
Mehta Chowk,junction,28.5183903,77.1797678,osm
IMT Chowk,junction,28.3616618,76.9402147,osm
Atlas Chowk,junction,28.4911241,77.0809851,osm
Hero Honda Chowk,junction,28.438,76.9945,manual
Subhash Chowk,junction,28.45,77.03,manual
Badshahpur Chowk,junction,28.4095,77.0303,manual
Shankar Chowk,junction,28.493,77.082,manual
Guru Dronacharya Metro,metro_station,28.4856,77.092,manual
MG Road Metro,metro_station,28.48,77.085,manual
Sector 55–56,metro_station,28.4233556,77.1051327,osm
DLF Phase 1,metro_station,28.4714258,77.0939606,osm
Basai Dhankot,metro_station,28.4645841,76.9828171,osm
Patli,metro_station,28.4010774,76.857079,osm
Dwarka Sector 9,metro_station,28.574272,77.0653316,osm
Sir M. Vishweshwaraiah Moti Bagh,metro_station,28.5785326,77.175741,osm
Cyber City,metro_station,28.4980703,77.0892567,osm
Dwarka Sector 21,metro_station,28.5519218,77.0585605,osm
Dwarka Sector 8,metro_station,28.5656109,77.0670366,osm
Gurgaon,metro_station,28.4890874,77.0111572,osm
Delhi Aerocity,metro_station,28.5487786,77.1207949,osm
IGI Airport,metro_station,28.5564626,77.0866995,osm
Bijwasan,metro_station,28.5369587,77.0512889,osm
Sikanderpur,metro_station,28.4812716,77.0930017,osm
Moulsari Avenue Station,metro_station,28.5007775,77.0946306,osm
Phase 3 Station,metro_station,28.4935677,77.093661,osm
Munirka,metro_station,28.5568967,77.1750592,osm
Garhi Harsaru Junction,metro_station,28.4382985,76.9307249,osm
Vasant Vihar,metro_station,28.557827,77.1611168,osm
Sikanderpur RMRG Station,metro_station,28.4809969,77.0944367,osm
DLF Phase 2,metro_station,28.4875596,77.0929909,osm
Belvedere Towers,metro_station,28.4917023,77.0881318,osm
Palam Vihar,metro_station,28.5164657,77.0339696,osm
Sultanpur Kaliawas,metro_station,28.4604562,76.869675,osm
Sector 42-43,metro_station,28.4574254,77.0969529,osm
Sector 53-54,metro_station,28.4463829,77.1004632,osm
Sector 54 Chowk,metro_station,28.4329768,77.1048971,osm
Terminal 1 IGI Airport,metro_station,28.564835,77.1226566,osm
Sadar Bazar Cantonment,metro_station,28.5771145,77.1111279,osm
Shankar Vihar,metro_station,28.5608462,77.1402814,osm
Yashobhoomi Dwarka Sector 25,metro_station,28.5508323,77.0453073,osm
Guru Dronacharya,metro_station,28.4820212,77.1022685,osm
M G Road,metro_station,28.4795543,77.0798926,osm
Millennium City Centre Gurugram,metro_station,28.4593429,77.0726571,osm
Chhatarpur,metro_station,28.5067242,77.1750019,osm
Sultanpur,metro_station,28.4991235,77.1613745,osm
Ghitorni,metro_station,28.493751,77.1491866,osm
Arjan Garh,metro_station,28.4807352,77.1257622,osm
Shahbad Muhammadpur,metro_station,28.5603258,77.0715537,osm
Dwarka Bus Depot,bus_terminal,28.5761642,77.0702284,osm
Gurugram Bus Stand,bus_terminal,28.4652485,77.0322077,osm
Aya Nagar Bus Terminal,bus_terminal,28.4768282,77.1304909,osm
Sohna Road Toll,toll_plaza,28.39,77.025,manual
Sohna Gurgaon Toll,toll_plaza,28.3335461,77.0676736,osm
Kapashera Border Toll Booth,toll_plaza,28.519272,77.0810607,osm
Kherki Daula Toll Plaza,toll_plaza,28.382,76.991,manual
Expressway Toll,toll_plaza,28.3954313,76.9820455,osm
Ambience Mall,commercial,28.5041797,77.0967881,osm
Suncity Trade Tower,commercial,28.5080747,77.0714497,osm
Corporate Tower,commercial,28.5023836,77.096631,osm
Nestlé House,commercial,28.4909134,77.0832944,osm
DLF Square,commercial,28.491414,77.0840161,osm
L-Band Radar and HF Transmitting Station,commercial,28.5275475,77.0541652,osm
Vipul Tech Square,commercial,28.4596959,77.094959,osm
One Horizon Center,commercial,28.4515059,77.0972752,osm
Global Foyer Mall,commercial,28.4605376,77.0950285,osm
MPD Towers,commercial,28.4546982,77.0969626,osm
Park Centra,commercial,28.4596686,77.0519387,osm
Le Meridien Hotel,commercial,28.4804683,77.1080186,osm
Sushant Arcade,commercial,28.4607928,77.078975,osm
Mindarika,commercial,28.3863,76.9401583,osm
Gold Souk,commercial,28.4507445,77.0787181,osm
Sandstone Crest,commercial,28.4588705,77.0757356,osm
Time Tower,commercial,28.4778064,77.0764706,osm
32nd Milestone,commercial,28.4615504,77.0500557,osm
Plaza Tower,commercial,28.4706223,77.1024006,osm
Bawa Potteries,commercial,28.522042,77.1653199,osm
South Point Mall,commercial,28.4479502,77.0991744,osm
Delhivery HQ,commercial,28.4550354,77.0701793,osm
Business Bay,commercial,28.3926451,76.9777125,osm
INXT City Centre,commercial,28.3907884,76.9744648,osm
Floreal Towers,commercial,28.39339,76.9772409,osm
Vatika Business Park,commercial,28.4059527,77.0446388,osm
Unitech House,commercial,28.4549857,77.0629167,osm
World Trade Centre,commercial,28.429666,77.0348707,osm
Platinum Tower,commercial,28.4211413,77.0405688,osm
Neo One,commercial,28.5042075,77.0081733,osm
Delhi Jal Board,commercial,28.54097,77.0588499,osm
Candor TechSpace,commercial,28.4253414,77.0312586,osm
Kartar Singh Market,commercial,28.5538458,77.1779636,osm
Maruti Suzuki India,commercial,28.3683914,76.8933272,osm
Maruti Suzuki India Limited,commercial,28.4955945,77.0694729,osm
Sector 54 Gurgaon Metro Rail Depot,commercial,28.4327057,77.1019995,osm
Easyday Club,commercial,28.4414581,77.0760783,osm
Peach Tree Complex,commercial,28.4510459,77.0817319,osm
City Centre,commercial,28.4125783,77.0423515,osm
Silokhera SEZ,commercial,28.4637508,77.0554744,osm
Unilever Limited,commercial,28.467037,77.0589164,osm
MGF Megapolis Mall,commercial,28.4786609,77.0822958,osm
DT City Center,commercial,28.4788004,77.0805481,osm
Sahara Mall,commercial,28.4795772,77.0866588,osm
MGF Mega City,commercial,28.4796837,77.0894134,osm
City Mart,commercial,28.4166613,77.0414261,osm
Global Bussiness Park,commercial,28.480443,77.1025035,osm
Jay Ushin LTD,commercial,28.4904354,77.0592946,osm
Westin,commercial,28.47697,77.0705137,osm
Star Mall,commercial,28.461382,77.0526784,osm
Gurgaon Central,commercial,28.4795661,77.0756468,osm
HUDA Gymkhana Club,commercial,28.4668014,77.0618345,osm
The Palms Town & Country Club,commercial,28.4600298,77.0765468,osm
Cairn India Limited,commercial,28.4931852,77.0855478,osm
Boulevard,commercial,28.4182046,77.0410264,osm
Orchid Business Centre,commercial,28.4261354,77.036378,osm
Business Tower,commercial,28.404572,77.0425333,osm
Trade Centre,commercial,28.407032,77.0418224,osm
Universal Trade Tower,commercial,28.4149985,77.041899,osm
Spazedge,commercial,28.419863,77.0405171,osm
Senior Mall,commercial,28.4807103,77.0822628,osm
Vatika Atrium,commercial,28.4400833,77.1017696,osm
Business Square,commercial,28.4085208,77.068255,osm
Proffessional Point,commercial,28.4014849,77.0493125,osm
Palm Square,commercial,28.4021284,77.0503263,osm
114 Avenue,commercial,28.536339,77.018527,osm
Ardee Mall,commercial,28.4451642,77.0808033,osm
Uno Minda,commercial,28.3716505,76.9377978,osm
McDonald's,commercial,28.3739733,76.9532489,osm
Grand Mall,commercial,28.479856,77.0900827,osm
Aquarius Cyber Park,commercial,28.4068399,77.004654,osm
Haritima Tourist Complex,commercial,28.5309374,76.9986363,osm
DLF Promenade,commercial,28.5424742,77.1560024,osm
DLF Emporio,commercial,28.5435328,77.1567003,osm
The Grand New Delhi,commercial,28.5388809,77.1518285,osm
Ranbaxy Corporate Headquarters,commercial,28.4469126,77.0397174,osm
